년도별 산불통계,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계
2023,04,16,14:45,일,2023,04,16,18:00,경기,경기,광주,남송,귀여,기,기타(직접입력),미상,0.03
2023,04,16,13:54,일,2023,04,16,15:52,강원,강원,정선,신동,예미,기,기타(직접입력),조사중,0.01
2023,04,16,12:22,일,2023,04,16,13:08,대구,대구,달서,,성당,기,기타(직접입력),조사중,0.01
2023,04,14,13:11,금,2023,04,14,13:54,경남,경남,함양,유림,옥매,기,기타(직접입력),조사중,0.04
2023,04,13,22:17,목,2023,04,14,03:30,북부,경기,구리,,아천,담,기타(직접입력),담뱃불실화,0.11
2023,04,13,19:05,목,2023,04,13,20:23,충남,충남,보령,웅천,황교,입,기타(직접입력),입산자실화추정,0.3
2023,04,13,14:09,목,2023,04,13,14:55,중부,충북,제천,덕산,신현,기,기타(직접입력),굴삭기스파크,0.01
2023,04,13,13:59,목,2023,04,13,15:00,울산,울산,울주,두서,차,입,기타(직접입력),입산자실화추정,0.2
2023,04,13,13:43,목,2023,04,13,15:10,경남,경남,함양,서하,황산,기,기타(직접입력),산업현장 실화,0.03
2023,04,13,13:21,목,2023,04,13,16:50,경북,경북,문경,호계,지천,,기타(직접입력),농산폐기물소각,2
2023,04,13,10:22,목,2023,04,13,11:10,충북,충북,영동,영동,가,담,기타(직접입력),담뱃불실화,0.01
2023,04,12,16:39,수,2023,04,12,18:10,인천,인천,옹진,백령,가을,기,기타(직접입력),미상,0.16
2023,04,12,13:50,수,2023,04,12,15:30,전남,전남,장흥,안양,수문,입,기타(직접입력),입산자실화추정,0.1
2023,04,12,13:45,수,2023,04,12,19:00,전남,전남,장성,북하,대악,기,기타(직접입력),채석장장비과열,0.1
2023,04,12,12:46,수,2023,04,12,12:55,경기,경기,과천,,중앙,기,기타(직접입력),미상,0.01
2023,04,12,11:02,수,2023,04,12,11:59,충남,충남,금산,남일,신동,기,기타(직접입력),데크용접발화,0.01
2023,04,12,05:31,수,2023,04,12,09:40,남부,경남,양산,원동,원,기,기타(직접입력),미상,0.3
2023,04,11,16:25,화,2023,04,11,17:50,경북,경북,경주,외동,문산,기,기타(직접입력),조사중,0.04
2023,04,11,08:30,화,2023,04,15,00:00,강원,강원,강릉,,난곡,기,기타(직접입력),전선단선,119.92
2023,04,10,14:10,월,2023,04,10,15:47,경기,경기,화성,향남,수직,기,기타(직접입력),미상,0.13
2023,04,09,17:16,일,2023,04,09,17:45,울산,울산,동,,동부,입,기타(직접입력),입산자실화,0.01
2023,04,09,14:15,일,2023,04,09,16:30,동부,강원,평창,미탄,창,입,기타(직접입력),입산자실화추정,1.1
2023,04,09,12:12,일,2023,04,09,12:57,경기,경기,연천,신서,대광,기,기타(직접입력),통신선스파크,0.01
2023,04,04,19:44,화,2023,04,04,21:40,경기,경기,고양,일산동,사리현,,주택화재비화,공장화재비화,0.03
2023,04,04,15:17,화,2023,04,04,17:00,충남,충남,서천,비인,율,담,기타(직접입력),담뱃불실화(벌목인부),0.22
2023,04,04,14:20,화,2023,04,04,17:00,전남,전남,함평,손불,학산,입,기타(직접입력),입산자실화추정,0.5
2023,04,04,11:51,화,2023,04,04,13:38,경기,경기,화성,남양,남양,기,기타(직접입력),성묘객실화,0.09
2023,04,04,10:50,화,2023,04,04,13:44,전남,전남,보성,회천,전일,입,기타(직접입력),입산자실화추정,0.1
2023,04,04,05:45,화,2023,04,04,13:10,충남,충남,천안,목천,지산,기,기타(직접입력),미상,1
2023,04,03,21:39,월,2023,04,04,00:00,충남,충남,천안,동남,용곡,기,기타(직접입력),미상,0.5
2023,04,03,17:20,월,2023,04,04,13:00,충남,충남,금산,남이,역평,기,기타(직접입력),조사중,2.5
2023,04,03,14:47,월,2023,04,03,16:00,경기,경기,용인 처인,양지,주북,기,기타(직접입력),성묘객실화,0.66
2023,04,03,14:19,월,2023,04,04,18:00,경북,경북,영주,평은,오운,기,기타(직접입력),양봉화재비화,210
2023,04,03,14:15,월,2023,04,04,03:00,경기,경기,광주,초월,학동,기,기타(직접입력),미상,0.8
2023,04,03,13:33,월,2023,04,03,15:00,충남,충남,아산,선장,선창,기,기타(직접입력),미상,0.07
2023,04,03,13:07,월,2023,04,03,15:20,강원,강원,영월,김삿갓,예밀,기,작업장실화,산업현장실화,0.5
2023,04,03,13:02,월,2023,04,04,17:15,전남,전남,순천,송광,봉산,기,기타(직접입력),건설현장실화추정,190
2023,04,03,12:19,월,2023,04,04,18:00,전남,전남,함평,대동,연암,쓰,기타(직접입력),쓰레기소각(양봉장)추정,475
2023,04,03,12:18,월,2023,04,04,21:00,경기,경기,남양주,와부,팔당,기,기타(직접입력),미상,27
2023,04,03,05:47,월,2023,04,03,10:03,경기,경기,포천,창수,주원,기,기타(직접입력),조사중,1.6
2023,04,02,21:15,일,2023,04,02,21:40,경기,경기,동두천,,생연,기,기타(직접입력),미상,0.1
2023,04,02,19:45,일,2023,04,02,23:30,경기,경기,파주,광탄,마장,기,기타(직접입력),미상,0.16
2023,04,02,18:24,일,2023,04,02,23:30,대전,대전,동,,판암,기,기타(직접입력),어린이불장난,0.5
2023,04,02,17:19,일,2023,04,02,18:10,경남,경남,함양,안의,당본,기,기타(직접입력),조사중,0.02
2023,04,02,16:15,일,2023,04,04,14:00,전남,전남,고흥,금산,어전,기,기타(직접입력),전기합선(태양광배전판),2
2023,04,02,16:07,일,2023,04,03,18:00,전북,전북,정읍,산외,화죽,기,기타(직접입력),미상,1.5
2023,04,02,15:52,일,2023,04,02,18:00,충남,충남,홍성,금마,월암,기,작업장실화,용접작업(축사),0.16
2023,04,02,15:36,일,2023,04,02,17:51,전남,전남,강진,대구,저두,기,기타(직접입력),캠핌장재투기,0.1
