월별,기간별,2018,2019,2020,2021,2022
합계,금년,496,653,620,349,756
1월,금년,29,106,29,44,88
2월,금년,130,61,42,82,143
3월,금년,83,141,171,44,82
4월,금년,88,152,184,94,180
5월,금년,3,99,26,20,115
6월,금년,45,15,38,3,26
7월,금년,15,15,-,7,3
8월,금년,46,4,1,6,-
9월,금년,3,2,2,1,11
10월,금년,9,9,35,-,24
11월,금년,13,19,46,24,47
12월,금년,32,30,46,24,37
